teff,logg,mh,alpha,vmic,vsini,Li,C,N,O,Na,Al,Mg,Si,Ti,K,Ca,Mn,Cr,Ni,S,V,Sc,Ba,La,Eu,Y,Zn,Zr,Cu
6480,3.28,-2.49,0.12,1.98,8,-13.906,-6.416,-6.876,-6.106,-7.816,-8.036,-6.696,-6.816,-10.066,-9.676,-8.236,-9.246,-8.556,-8.286,-7.766,-10.586,-11.456,-12.086,-12.986,-14.146,-12.596,-9.526,-11.776,-9.866
6010,3.89,-2.48,-0.04,1.17,10,-13.896,-6.506,-6.846,-5.646,-8.626,-8.416,-7.446,-7.056,-9.716,-9.736,-7.776,-8.796,-8.396,-8.076,-7.136,-10.146,-11.806,-12.526,-13.406,-14.376,-11.836,-9.856,-12.276,-9.996
5790,1.3,-2.49,0.02,1.67,3,-13.886,-6.596,-7.006,-5.746,-8.086,-8.266,-6.726,-6.846,-10.046,-9.576,-8.386,-8.986,-8.586,-8.616,-7.536,-10.706,-11.056,-12.246,-13.666,-14.426,-12.396,-9.516,-11.766,-10.266
4090,0.83,-2.45,0.04,1.63,3,-13.886,-6.376,-6.996,-6.206,-8.356,-8.296,-6.606,-6.666,-9.296,-9.236,-8.396,-8.496,-9.126,-8.676,-7.096,-10.526,-11.246,-12.746,-12.976,-14.036,-12.036,-9.576,-11.936,-10.356
5330,4.78,-2.46,-0.21,0.84,3,-13.886,-6.266,-7.106,-6.036,-8.156,-8.466,-7.256,-7.266,-9.386,-9.266,-8.266,-9.146,-9.316,-8.086,-7.266,-10.756,-11.046,-12.786,-13.256,-14.426,-12.236,-9.566,-12.236,-9.796
4600,1.11,-2.48,0.02,1.44,4,-13.886,-6.276,-6.936,-5.776,-7.716,-7.736,-6.666,-7.036,-9.126,-9.126,-8.436,-9.406,-8.856,-7.866,-7.796,-10.916,-11.926,-12.136,-13.576,-14.346,-12.636,-10.056,-11.596,-10.056
6000,2.75,-2.48,-0.02,1.63,6,-13.886,-6.386,-6.996,-6.276,-7.926,-8.266,-7.156,-7.446,-9.846,-8.996,-8.026,-9.376,-8.566,-8.496,-7.086,-10.256,-11.466,-12.656,-13.766,-14.186,-11.956,-9.796,-12.196,-10.566
4960,4.23,-2.48,-0.21,0.87,6,-13.886,-6.506,-6.756,-5.436,-8.396,-8.326,-7.286,-6.776,-9.726,-8.916,-8.276,-8.596,-8.416,-8.246,-7.186,-10.106,-11.926,-12.326,-13.776,-14.296,-12.626,-9.716,-11.456,-10.266
4230,2.31,-2.47,-0.09,1.4,6,-13.886,-5.786,-6.966,-5.916,-8.156,-7.946,-7.006,-6.796,-9.356,-9.126,-8.296,-8.526,-8.546,-8.386,-7.276,-10.496,-11.736,-12.096,-13.526,-14.476,-12.346,-9.896,-11.586,-9.936
4600,0.9,-2.47,0.01,1.46,6,-13.886,-5.626,-6.746,-6.276,-8.646,-7.716,-7.236,-6.856,-9.606,-9.876,-7.866,-9.076,-8.876,-8.276,-7.696,-10.196,-11.746,-11.876,-13.676,-14.206,-12.376,-9.456,-12.366,-10.466
7340,2.86,-2.46,-0.3,3.13,7,-13.886,-6.486,-6.466,-5.446,-7.836,-8.386,-7.386,-6.496,-9.926,-8.936,-8.316,-9.416,-8.996,-7.826,-7.786,-10.126,-11.696,-12.406,-13.416,-13.926,-12.456,-10.266,-12.146,-10.306
7890,3.68,-2.46,0.26,2.49,7,-13.886,-5.986,-7.116,-5.356,-8.476,-8.346,-6.506,-7.236,-9.196,-9.216,-8.076,-8.956,-9.116,-8.286,-7.736,-10.496,-11.356,-12.316,-13.256,-13.736,-12.326,-9.986,-11.646,-10.476
6030,3.37,-2.48,-0.12,1.57,8,-13.886,-6.186,-7.156,-5.356,-8.496,-7.646,-6.766,-6.686,-9.806,-9.496,-8.616,-9.216,-9.026,-8.036,-7.796,-10.316,-11.626,-12.716,-13.206,-14.406,-12.266,-10.076,-11.606,-9.816
5260,0.55,-2.49,0.41,1.53,8,-13.886,-6.106,-7.086,-6.316,-8.536,-7.676,-6.636,-6.646,-9.656,-9.146,-7.706,-8.656,-8.606,-8.536,-7.816,-10.916,-11.716,-12.486,-13.756,-14.206,-12.486,-9.806,-12.336,-10.476
4030,1.69,-2.45,-0.36,1.56,8,-13.886,-5.996,-6.606,-6.196,-8.046,-7.646,-7.196,-6.806,-9.786,-9.776,-8.616,-9.136,-8.776,-7.966,-7.116,-10.686,-11.206,-12.176,-13.346,-14.326,-12.666,-9.826,-11.856,-10.716
5320,0.5,-2.48,0.01,1.55,10,-13.886,-5.916,-6.546,-5.476,-8.706,-7.986,-6.716,-6.596,-9.886,-9.116,-8.416,-8.906,-9.286,-8.076,-7.066,-10.036,-11.506,-12.786,-12.966,-13.896,-12.076,-10.186,-11.646,-10.716
4230,1.28,-2.46,0.34,1.52,10,-13.886,-5.816,-6.326,-5.306,-8.596,-7.746,-6.646,-7.126,-9.546,-9.756,-7.776,-9.016,-8.436,-8.516,-6.996,-10.416,-11.476,-12.136,-13.556,-13.576,-12.686,-9.446,-12.216,-10.566
6780,2.69,-2.47,-0.26,2.38,3,-13.876,-5.656,-6.946,-6.136,-8.246,-8.276,-7.236,-7.226,-9.146,-9.176,-8.416,-9.026,-9.296,-8.246,-7.706,-10.526,-11.166,-12.206,-13.126,-13.906,-12.766,-9.456,-12.176,-10.186
5400,0.37,-2.45,-0.22,1.59,4,-13.876,-5.976,-6.786,-5.676,-7.966,-8.156,-7.266,-6.706,-9.146,-9.686,-8.256,-8.956,-8.696,-8.496,-7.576,-10.486,-11.056,-12.436,-12.916,-13.736,-12.066,-9.996,-12.256,-9.816
4530,4.41,-2.44,0.39,0.84,5,-13.876,-6.166,-6.896,-5.446,-8.396,-8.386,-6.526,-6.526,-9.696,-9.676,-7.756,-9.426,-9.026,-8.056,-7.686,-10.006,-11.206,-12.266,-13.246,-13.476,-11.806,-9.746,-12.246,-10.076
4360,0.2,-2.47,0.15,1.59,5,-13.876,-5.846,-6.246,-5.876,-8.066,-7.896,-6.706,-7.316,-10.026,-9.856,-8.116,-8.956,-8.506,-8.036,-7.276,-10.416,-11.476,-11.946,-13.246,-14.476,-12.616,-10.216,-11.446,-10.346
6030,2.13,-2.45,-0.26,1.73,5,-13.876,-6.056,-6.886,-5.846,-7.796,-7.786,-7.236,-6.576,-9.796,-9.066,-8.376,-8.696,-8.606,-8.596,-7.786,-10.666,-11.776,-12.146,-13.746,-13.616,-11.986,-9.766,-11.826,-10.006
7990,3.15,-2.46,0.15,4.22,6,-13.876,-6.406,-6.886,-5.546,-8.156,-8.006,-6.886,-6.536,-9.896,-8.976,-7.926,-8.946,-8.926,-8.366,-7.596,-10.336,-11.826,-12.186,-13.796,-13.666,-12.356,-10.266,-12.116,-10.266
7160,4.5,-2.49,0.22,1.75,8,-13.876,-6.146,-6.216,-6.246,-8.406,-7.756,-6.516,-7.286,-9.826,-9.776,-8.216,-8.646,-8.706,-8.456,-7.736,-10.306,-11.276,-12.476,-13.276,-13.976,-12.416,-10.386,-11.826,-10.356
4330,1.41,-2.48,0.01,1.47,9,-13.876,-5.656,-6.766,-5.986,-7.846,-7.866,-6.466,-7.356,-9.296,-9.156,-8.656,-9.416,-8.716,-8.136,-7.616,-10.246,-11.676,-12.006,-13.386,-13.996,-12.566,-9.676,-12.076,-10.486
4670,0.59,-2.48,0.26,1.49,9,-13.876,-5.666,-6.206,-5.366,-8.516,-8.106,-6.576,-6.616,-9.816,-9.856,-8.056,-9.466,-8.596,-8.506,-7.686,-10.786,-11.416,-12.376,-13.516,-13.986,-12.606,-9.886,-12.026,-10.006
4270,2.26,-2.45,0.03,1.39,10,-13.876,-6.386,-7.146,-5.526,-8.166,-7.796,-7.246,-6.916,-9.906,-9.096,-7.776,-9.256,-8.746,-8.476,-7.396,-10.086,-11.396,-11.856,-13.576,-14.256,-12.216,-9.486,-11.766,-10.706
5730,1.78,-2.49,-0.01,1.58,3,-13.866,-5.736,-6.336,-5.556,-8.046,-7.876,-7.406,-7.406,-9.456,-9.006,-7.776,-9.056,-8.836,-8.176,-7.666,-10.076,-10.996,-12.826,-13.216,-14.316,-12.546,-10.386,-12.326,-10.636
4100,0.83,-2.44,0.11,1.63,3,-13.866,-6.216,-6.526,-5.616,-8.066,-7.846,-6.936,-6.626,-9.106,-9.156,-7.906,-8.716,-8.586,-8.496,-6.836,-10.846,-10.936,-12.546,-12.906,-13.596,-12.396,-10.316,-11.446,-10.006
4410,0.61,-2.47,0.12,1.54,4,-13.866,-6.526,-6.556,-6.166,-8.056,-7.936,-6.626,-7.096,-9.416,-9.146,-8.256,-9.036,-9.286,-8.676,-7.696,-10.716,-11.876,-12.396,-13.106,-13.836,-11.836,-10.006,-12.286,-9.926
4820,0.83,-2.46,-0.07,1.45,4,-13.866,-6.536,-6.316,-5.986,-8.446,-8.166,-6.586,-7.016,-9.116,-9.456,-8.656,-9.036,-8.456,-8.676,-7.566,-10.746,-10.976,-12.156,-13.106,-14.086,-12.566,-9.476,-11.526,-10.336
6590,1.77,-2.5,0.24,2.28,5,-13.866,-6.136,-6.376,-6.226,-7.926,-7.996,-6.706,-6.716,-9.126,-9.626,-8.006,-8.706,-8.786,-8.056,-7.296,-10.566,-11.866,-12.156,-13.676,-13.576,-12.806,-9.636,-11.996,-10.536
5120,0.53,-2.5,0.01,1.51,8,-13.866,-6.036,-7.096,-5.386,-8.126,-8.416,-6.696,-7.436,-9.846,-8.946,-8.466,-9.186,-8.736,-8.216,-7.726,-10.466,-11.526,-11.976,-13.196,-14.006,-12.226,-10.126,-11.766,-10.476
4580,4.36,-2.48,-0.03,0.85,8,-13.866,-6.396,-6.736,-6.026,-8.376,-8.356,-6.886,-7.066,-9.466,-9.146,-8.326,-8.966,-8.366,-8.226,-7.356,-10.996,-11.566,-12.436,-13.076,-13.526,-12.586,-9.976,-11.966,-10.716
6240,2.37,-2.49,0.1,1.87,9,-13.866,-6.576,-6.226,-5.416,-7.946,-7.716,-6.676,-6.946,-10.026,-8.956,-8.296,-8.726,-9.226,-8.796,-6.866,-10.386,-11.776,-12.096,-13.446,-13.956,-12.776,-10.266,-11.466,-10.186
6320,1.58,-2.5,-0.12,2.03,10,-13.866,-6.536,-6.286,-5.606,-7.946,-7.936,-7.486,-7.466,-9.466,-9.316,-7.946,-9.376,-8.406,-8.036,-6.976,-11.006,-11.166,-12.176,-13.106,-14.186,-12.556,-10.066,-11.546,-10.216
4280,5.16,-2.49,-0.34,0.73,2,-13.856,-6.226,-6.956,-5.916,-8.176,-7.776,-7.306,-7.136,-9.316,-9.086,-8.536,-8.886,-8.406,-8.166,-7.666,-10.436,-11.766,-12.266,-12.886,-13.656,-12.396,-9.806,-12.106,-10.416
4290,1.73,-2.47,0.1,1.45,3,-13.856,-5.886,-7.086,-6.276,-8.416,-7.706,-6.846,-7.346,-9.556,-9.676,-8.076,-9.226,-8.846,-8.296,-7.036,-10.616,-11.456,-12.696,-13.356,-14.126,-12.716,-9.806,-12.386,-9.766
4070,1.72,-2.44,0.06,1.54,3,-13.856,-6.376,-6.776,-5.546,-8.106,-7.556,-6.506,-7.216,-9.556,-9.486,-8.436,-8.746,-8.806,-8.156,-7.596,-10.316,-11.196,-12.736,-12.936,-14.046,-11.986,-10.316,-12.056,-10.436
6340,1.75,-2.5,-0.06,2.03,4,-13.856,-6.006,-6.416,-6.286,-8.516,-8.566,-6.636,-6.506,-9.786,-9.186,-8.666,-8.786,-8.916,-8.676,-7.276,-10.766,-11.866,-12.816,-13.456,-14.236,-11.916,-9.746,-12.226,-10.686
5290,1.02,-2.44,0.17,1.49,4,-13.856,-6.206,-6.626,-5.376,-8.486,-7.856,-6.726,-7.296,-9.756,-9.426,-7.996,-9.286,-8.456,-8.096,-7.386,-10.856,-11.526,-12.126,-13.236,-14.116,-12.056,-9.916,-12.216,-10.496
4230,1.65,-2.43,0.3,1.48,4,-13.856,-5.906,-6.816,-6.186,-7.966,-7.726,-6.426,-6.726,-9.386,-9.476,-8.006,-9.276,-9.166,-8.096,-6.866,-10.606,-11.576,-11.816,-13.096,-14.266,-12.306,-9.456,-11.786,-9.926
6290,4.54,-2.49,-0.08,1.2,6,-13.856,-5.796,-6.216,-5.486,-8.206,-7.746,-6.836,-6.686,-9.996,-9.226,-8.486,-9.496,-8.536,-8.066,-7.056,-10.966,-11.106,-12.536,-12.886,-14.456,-12.816,-10.226,-12.426,-10.026
4780,3.71,-2.44,-0.3,0.94,6,-13.856,-6.446,-6.546,-5.396,-7.856,-7.746,-7.046,-6.556,-9.286,-9.236,-8.606,-8.516,-8.846,-8.396,-7.436,-10.906,-11.246,-11.916,-12.806,-13.576,-12.006,-10.246,-12.336,-9.966
5240,2.42,-2.44,-0.12,1.31,6,-13.856,-6.146,-6.376,-5.966,-8.146,-7.906,-7.136,-7.306,-9.486,-9.736,-8.156,-9.056,-8.916,-8.686,-7.046,-10.466,-11.426,-12.566,-13.486,-13.656,-11.986,-9.866,-11.776,-9.876
7100,4.52,-2.49,0.12,1.7,7,-13.856,-5.896,-6.486,-5.576,-8.696,-8.516,-6.536,-7.246,-9.206,-9.676,-8.376,-8.866,-8.706,-7.826,-7.646,-10.976,-11.206,-12.266,-13.536,-14.136,-12.406,-9.786,-12.056,-9.766
4070,3.45,-2.45,0.18,1.32,7,-13.856,-5.956,-6.626,-6.036,-8.406,-7.636,-6.946,-6.766,-9.346,-9.756,-7.776,-8.616,-8.736,-7.916,-7.506,-10.236,-11.746,-12.796,-13.656,-13.816,-12.226,-9.716,-11.446,-9.756
7830,2.94,-2.49,0.01,3.95,7,-13.856,-6.466,-6.646,-5.776,-8.216,-7.876,-7.426,-7.006,-9.136,-9.736,-7.706,-9.436,-8.536,-8.266,-7.816,-10.556,-11.726,-11.886,-12.976,-14.056,-12.256,-10.176,-11.866,-10.606
5960,4.09,-2.46,-0.13,1.12,7,-13.856,-6.466,-6.436,-5.596,-7.696,-8.016,-7.416,-6.726,-9.196,-9.626,-7.946,-8.886,-9.286,-8.606,-7.226,-10.446,-11.376,-11.886,-13.076,-14.286,-12.476,-10.106,-12.216,-10.426
4340,1.41,-2.42,-0.12,1.47,7,-13.856,-5.706,-7.006,-5.286,-8.266,-8.096,-6.966,-7.286,-9.116,-9.126,-8.306,-9.096,-8.876,-8.336,-7.096,-10.086,-10.906,-12.686,-12.896,-14.066,-12.266,-9.716,-12.116,-10.626
4720,3.61,-2.45,0.04,0.95,8,-13.856,-6.286,-6.356,-5.926,-7.886,-7.716,-7.076,-6.816,-9.766,-8.896,-7.916,-9.346,-9.076,-8.696,-6.986,-10.976,-11.826,-11.876,-12.926,-14.146,-12.426,-9.586,-12.156,-10.206
6400,3.13,-2.5,0.08,1.92,8,-13.856,-6.446,-6.326,-5.696,-8.536,-7.876,-7.216,-7.206,-9.906,-9.426,-7.796,-9.356,-9.296,-8.136,-7.456,-10.496,-11.076,-12.406,-13.186,-13.656,-12.106,-10.336,-11.736,-10.266
4290,2.45,-2.42,0.08,1.36,8,-13.856,-5.996,-7.016,-5.706,-7.666,-8.056,-6.746,-6.786,-9.986,-9.716,-8.116,-9.236,-8.786,-8.596,-7.086,-10.826,-11.136,-11.986,-13.146,-13.816,-12.126,-10.116,-11.496,-10.116
7260,2.29,-2.49,0.09,3.08,10,-13.856,-6.376,-6.216,-5.366,-7.736,-8.156,-6.706,-7.046,-9.746,-8.946,-8.276,-8.536,-8.466,-8.786,-7.026,-10.686,-11.066,-11.876,-13.396,-13.876,-12.436,-10.196,-11.986,-10.516
5160,2.79,-2.49,0.14,1.25,10,-13.856,-6.506,-6.796,-5.356,-8.176,-8.106,-6.836,-6.866,-9.606,-9.606,-8.046,-9.366,-9.226,-8.136,-7.426,-10.746,-10.966,-12.366,-13.576,-13.576,-12.336,-9.896,-12.376,-10.766
7360,2.56,-2.49,-0.24,3.2,10,-13.856,-6.016,-6.396,-5.836,-7.916,-7.886,-7.276,-7.196,-10.066,-9.256,-8.356,-8.616,-8.926,-8.136,-7.446,-11.006,-11.036,-12.476,-12.936,-13.986,-12.436,-9.706,-11.476,-9.946
4320,1.67,-2.46,0.22,1.45,10,-13.856,-5.746,-6.236,-5.736,-8.146,-7.686,-6.726,-6.606,-9.196,-9.826,-7.936,-9.026,-8.806,-8.526,-7.196,-10.146,-11.046,-11.836,-13.416,-14.306,-12.646,-9.796,-11.506,-10.696
5870,1.39,-2.47,-0.1,1.71,2,-13.846,-5.776,-6.456,-6.076,-8.276,-7.656,-7.136,-6.886,-9.356,-8.966,-8.186,-9.366,-8.646,-8.716,-7.396,-10.556,-11.046,-12.526,-13.146,-13.866,-11.826,-9.556,-12.306,-9.786
4180,1.45,-2.48,0.36,1.52,3,-13.846,-6.466,-6.316,-5.746,-8.166,-8.116,-6.486,-6.706,-9.866,-9.526,-7.946,-8.966,-8.496,-8.676,-7.476,-10.576,-11.896,-12.706,-12.966,-14.026,-11.856,-9.396,-11.556,-10.546
4680,0.45,-2.45,0.32,1.5,3,-13.846,-5.886,-6.496,-5.376,-7.886,-7.756,-6.616,-7.146,-9.616,-8.936,-7.816,-8.806,-8.996,-7.836,-7.046,-10.936,-10.966,-11.876,-13.346,-13.786,-12.376,-9.696,-11.686,-10.666
4550,3.89,-2.48,-0.33,0.91,4,-13.846,-5.836,-6.366,-6.186,-8.096,-7.906,-7.446,-6.806,-9.746,-9.426,-8.356,-8.696,-8.416,-8.476,-7.296,-10.706,-11.036,-12.476,-13.086,-14.246,-12.466,-10.256,-12.226,-10.516
4550,3.3,-2.45,0.02,1.18,4,-13.846,-6.256,-6.726,-5.536,-7.886,-7.926,-6.466,-7.436,-9.886,-9.286,-8.576,-9.036,-8.696,-8.456,-7.316,-10.366,-11.196,-12.286,-13.406,-14.066,-12.036,-10.186,-12.046,-10.116
4480,2.05,-2.45,-0.02,1.36,4,-13.846,-5.936,-6.806,-5.696,-8.436,-8.026,-7.386,-7.256,-9.216,-9.296,-7.746,-9.156,-9.116,-7.836,-7.496,-10.356,-11.616,-12.296,-13.566,-14.286,-12.686,-9.706,-11.836,-10.076
4600,1.38,-2.42,-0.2,1.41,4,-13.846,-5.586,-6.146,-5.486,-7.756,-8.286,-7.076,-7.306,-10.026,-9.386,-8.336,-8.976,-9.146,-8.406,-7.276,-10.516,-11.426,-12.096,-13.116,-13.606,-11.876,-9.756,-12.016,-9.996
7600,3.67,-2.44,0.27,2.22,5,-13.846,-5.856,-6.486,-6.036,-8.296,-7.956,-6.616,-7.016,-9.266,-9.256,-7.906,-8.826,-8.466,-8.516,-7.426,-10.476,-10.916,-12.216,-13.246,-14.006,-12.286,-10.326,-11.886,-9.986
7070,3.18,-2.47,-0.2,2.69,5,-13.846,-5.656,-6.986,-6.146,-8.626,-7.746,-7.206,-6.896,-9.426,-9.056,-8.316,-8.596,-8.916,-8.006,-7.656,-10.676,-11.346,-12.406,-12.976,-14.176,-11.966,-9.886,-12.046,-9.986
4140,0.64,-2.43,-0.02,1.63,5,-13.846,-6.226,-6.316,-5.296,-8.566,-7.546,-6.916,-6.556,-9.976,-9.526,-8.156,-9.346,-8.446,-8.726,-7.776,-10.616,-11.656,-12.126,-13.396,-13.706,-12.706,-9.526,-11.676,-10.606
4720,0.98,-2.48,0.4,1.44,5,-13.846,-5.856,-6.936,-6.116,-8.456,-7.686,-6.636,-6.586,-9.796,-9.236,-7.696,-9.496,-8.946,-8.086,-7.526,-10.656,-11.596,-12.416,-13.056,-13.516,-12.246,-10.216,-11.596,-10.046
4900,1.22,-2.48,0.25,1.41,5,-13.846,-6.266,-6.596,-5.586,-8.626,-8.466,-6.886,-6.566,-9.206,-9.326,-7.756,-9.036,-8.816,-8.736,-7.226,-10.446,-11.476,-12.676,-13.776,-13.636,-12.486,-9.766,-11.826,-9.866
5450,1.05,-2.49,-0.02,1.54,5,-13.846,-6.586,-6.786,-6.186,-8.566,-8.246,-6.716,-6.896,-10.106,-9.536,-8.496,-8.566,-8.996,-8.566,-6.906,-10.556,-11.756,-12.326,-13.566,-13.856,-11.986,-9.706,-11.516,-9.996
5300,0.47,-2.46,-0.09,1.55,6,-13.846,-6.266,-7.056,-5.456,-8.626,-8.406,-7.256,-7.086,-9.516,-9.296,-8.026,-9.476,-8.626,-8.776,-7.386,-10.356,-11.686,-12.036,-13.486,-13.806,-12.626,-10.086,-12.246,-10.406
6620,1.81,-2.44,0.34,2.31,6,-13.846,-5.966,-6.946,-5.656,-8.156,-8.336,-6.446,-7.386,-9.626,-9.486,-7.946,-9.446,-9.006,-7.896,-7.356,-10.376,-11.716,-12.206,-12.996,-14.106,-11.956,-9.526,-11.486,-10.086
5330,3.52,-2.5,0.01,1.02,6,-13.846,-6.586,-6.356,-6.236,-7.966,-8.276,-7.166,-7.246,-9.426,-9.206,-8.006,-8.946,-9.016,-8.476,-7.536,-10.566,-11.546,-12.586,-13.526,-14.086,-11.906,-9.556,-11.876,-10.226
7430,2.15,-2.48,0.04,3.36,7,-13.846,-6.186,-7.046,-5.946,-7.986,-7.826,-7.176,-7.006,-9.766,-9.476,-7.886,-8.686,-9.326,-8.366,-7.446,-10.876,-11.796,-12.116,-13.336,-13.746,-12.406,-9.916,-11.616,-10.246
7540,2.7,-2.43,0.34,3.47,7,-13.846,-5.926,-6.356,-5.786,-7.826,-7.516,-6.416,-6.986,-9.176,-8.976,-7.956,-9.466,-8.806,-8.586,-7.396,-10.296,-10.906,-12.206,-13.426,-13.636,-12.366,-9.546,-12.016,-10.246
4400,4.96,-2.45,0.29,0.76,8,-13.846,-5.936,-6.446,-5.966,-8.516,-7.586,-6.796,-6.766,-9.726,-9.306,-7.716,-8.966,-8.416,-8.646,-7.456,-10.116,-11.556,-12.016,-13.056,-14.136,-12.416,-10.306,-11.916,-10.346
4280,4.91,-2.49,-0.07,0.77,8,-13.846,-6.376,-6.626,-5.576,-7.996,-7.806,-6.626,-6.946,-9.806,-9.036,-8.676,-8.776,-8.796,-8.316,-7.446,-10.206,-11.706,-12.756,-13.076,-14.396,-12.226,-9.666,-11.546,-10.246
5750,2.14,-2.49,-0.18,1.55,8,-13.846,-6.366,-6.636,-6.086,-8.426,-7.956,-7.116,-7.076,-9.856,-9.836,-8.416,-8.706,-8.966,-8.026,-6.866,-10.056,-11.566,-11.996,-13.746,-14.476,-12.216,-10.066,-11.486,-10.356
4400,2.23,-2.41,0.1,1.35,9,-13.846,-5.826,-6.206,-5.826,-8.066,-8.046,-6.666,-6.496,-9.216,-9.316,-8.136,-9.116,-8.926,-8.206,-6.916,-10.496,-11.726,-12.086,-12.966,-14.076,-12.156,-9.386,-11.826,-10.556
5000,1.86,-2.46,0.11,1.34,9,-13.846,-6.316,-6.646,-5.436,-8.136,-7.796,-6.816,-6.946,-9.546,-9.576,-8.076,-9.306,-8.576,-8.676,-7.396,-10.396,-11.576,-12.816,-13.346,-14.136,-12.726,-9.476,-11.826,-10.546
4130,1.8,-2.46,-0.42,1.5,10,-13.846,-6.036,-6.386,-5.496,-7.756,-7.616,-7.436,-7.146,-9.736,-8.966,-8.496,-8.716,-8.636,-8.616,-7.296,-10.586,-11.546,-12.126,-13.476,-14.006,-11.916,-9.516,-12.226,-10.716
5410,2.8,-2.41,-0.01,1.31,2,-13.836,-5.866,-6.676,-5.496,-8.596,-8.096,-7.166,-6.706,-9.856,-9.286,-7.856,-9.266,-8.646,-7.756,-7.596,-10.836,-11.366,-11.796,-13.436,-13.446,-11.966,-10.116,-11.346,-10.456
6430,2.86,-2.5,0.06,1.98,2,-13.836,-6.326,-6.616,-5.576,-8.196,-7.756,-7.296,-7.096,-9.686,-9.676,-7.766,-9.076,-8.406,-8.426,-7.576,-10.286,-11.306,-12.536,-13.576,-14.246,-11.836,-9.836,-12.336,-10.396
